CUSTRECORD_EOS_DATE,CUSTRECORD_EOS_MEMO,BINNUMBER
10/25/2024 12:00:00 AM,,BP2
10/29/2024 12:00:00 AM,10/29/2024,BD1
10/29/2024 12:00:00 AM,10/29/2024,BP1
10/29/2024 12:00:00 AM,10/29/2024,BP2
10/29/2024 12:00:00 AM,10/29/2024,BS1
10/29/2024 12:00:00 AM,,BP1
10/29/2024 12:00:00 AM,,BP2
10/30/2024 12:00:00 AM,"Dear Matt,  Thanks for planning easy for me",BD1
10/30/2024 12:00:00 AM,tewsdgfg,BP1
10/31/2024 12:00:00 AM,"2.8 hours of total downtime.   1.) 1 hour of downtime due to exit conveyor wire fraying causing conveyor to shut down and cans to get punctured by the collating fingers.  We had to fix the fire, clean up the line and go through 2 pallets of product to pick out the damaged cans and discard them. 2.) We had 2 separate events that accumulated over 40min of downtime where the carton infeed sensor was miss firing causing large quantities of boxes to fall into the machine causing jams prior to box opening up.  3.) 1.12 hours of downtime due to dekitting falling behind, we lost 2 people off the line although we started with 10, by mid shift we lost 2 people.  This line needs to be reassessed to run with 10 HC +1 FL.",ID1
10/31/2024 12:00:00 AM,"I tested running this operation with 2 extra HC (1 added to dekitting, and 1 added to Palletizing).  We averaged 11.6 pallets an hour. good run overall not much downtime outside 20 min delay changing film by the line lead mid shift. I ended up moving 1 of the HC to ID1 mid shift due to several people leaving for emergencies (1 Half day line lead on IA1, 1 temp left during lunch and didn't come back and 1 temp got hurt on ID1)",IA1
10/31/2024 12:00:00 AM,Ran out the balance of the Work Order till completion. C1 had issues with the stop gate opening up but this line will be decommissioned to send over to Walla Walla,Flight - C1
10/31/2024 12:00:00 AM,good shift,BP2
10/31/2024 12:00:00 AM,yrdy,BP2
11/04/2024 12:00:00 AM,No issues on this run. The flavor C/O was the longest down time of the shift.,BP1
11/04/2024 12:00:00 AM,new item setup took the majority of the shift to dial in the machine. the film continued to bunch up and jam in the wrapping section which caused the film to pull back into the machine multiple times. Was unable to run consistently for any period of time which is likely caused by the thickness of the film (200 gauge) which is the max spec for the PP1 line. The balance of the WO (420cs) were completed after the 8 hour period which is why the shift is totaling to 84.78%.,Flight - PP1
11/05/2024 12:00:00 AM,No issues!,BP1
11/05/2024 12:00:00 AM,test manny,BP1
11/05/2024 12:00:00 AM,test manny2,BS1
11/06/2024 12:00:00 AM,Had a great run today. #LFG! #WGTSM!,BP1
11/06/2024 12:00:00 AM,Some of the staff couldn't keep up on dekkiting that lead us to stop the line to dekkit. SL cartons were not easy to get into the tray. Needed to have two people per flavor to load cartons into trays.,Manual - Bristol
11/06/2024 12:00:00 AM,test,BP1
11/06/2024 12:00:00 AM,test rework,Manual - Bristol
11/07/2024 12:00:00 AM,Great run!,BP1
11/07/2024 12:00:00 AM,"Tray former had to get changeover to RYL Trays. The carton holder needed to be readjusted, and several adjustments were implemented at the start of the production run. One can was bouncing out of the carton every time that pusher extender pushed cans, Cartons were leaning when suction cups picked them causing can jamming. Date code had to get set up on the side of the carton which led to date coder adjustments.",BD1
11/07/2024 12:00:00 AM,"Tray formers was set up for RYL trays leading us to hand glue the Poppi trays, this caused some downtime because the production rate slowed as we waited for the trays.",Manual - Bristol
11/08/2024 12:00:00 AM,12321432,BP1
11/08/2024 12:00:00 AM,"BP1 experienced a delayed start as a result of adjustments made to the case erector. Throughout the day, there were instances of downtime caused by products falling onto the conveyor, due to staff loading conveyor not being aware of fallen can. Additionally, the robot experienced issues with dropping product, which led to boxes being crushed due to Broken flap and a worn pad; this pad was replaced, and thereafter, the machine operated quite smoothly.",BP1
